temperature,pressure,humidity,fuzz,interval,detected
24.110692889696253,1015.3265841670838,70.04011484574843,0,1000,0
25.7473495789362,1011.7027784116084,60.49913489285148,0,1000,0
24.60250162867286,1008.7470893877776,61.37472218202704,0,1000,0
25.396458697186613,1011.4147795219726,53.46182178613487,0,1000,0
29.969054469357605,1016.1052724059952,63.02713099681473,0,1000,0
24.55549851125477,1018.5367261891436,60.88129488553543,0,1000,0
23.018577251563404,1016.9818065392168,68.8065939502437,0,1000,0
25.02462928474619,1008.0273787610968,60.665377478809184,0,1000,0
24.786943525148565,1014.9158185831864,64.6827482926841,0,1000,0
27.864126067656454,1009.3696679762978,57.87668820414408,0,1000,0
23.92319701698365,1008.0679319446904,55.30641536277784,0,1000,0
29.721228411537524,1010.5463388891658,72.51319617166307,0,1000,0
23.763420120681182,1022.702826146758,52.23434299043311,0,1000,0
29.60408027195001,1015.809872853158,53.59073536701061,0,1000,0
26.45932059132319,1007.0299112699662,65.12597245459108,0,1000,0
27.58430729530423,1012.7648165802652,54.78800580218185,0,1000,0
26.70725379519929,1013.3607829113864,55.98403425372976,0,1000,0
22.12462317769104,1011.3631572402846,60.0292444531954,0,1000,0
25.90917538099485,1011.5992328964436,54.99658929877749,0,1000,0
24.73302145945972,1011.1027855203454,57.95440097357404,0,1000,0
22.886213977570662,1003.4524902823562,71.75436967317097,0,1000,0
24.56683361373092,1011.7159244156762,59.85990084240613,0,1000,0
25.859820913373845,1010.5179456989024,64.6592166584579,0,1000,0
28.40369503196442,1015.6322165014764,63.53434706069589,0,1000,0
24.30743891221084,1016.2285895289848,54.941654611779455,0,1000,0
26.55043548143125,1021.2913827304252,64.4964715996768,0,1000,0
24.25404655653036,1012.5837628945347,58.245869611190656,0,1000,0
21.816106998922823,1013.1998546166152,62.170127771254805,0,1000,0
27.88594153822403,1006.4746937479262,51.25134119705602,0,1000,0
26.532192961887585,1012.509806443344,60.116444154490615,0,1000,0
23.28279235503171,1021.8428321297072,68.63376894916907,0,1000,0
25.338180478478947,1010.9962718649424,66.41731010459351,0,1000,0
25.56810482160211,1010.5428253568635,56.222743358009694,0,1000,0
28.74873737335499,1010.4611612832364,59.2892699229845,0,1000,0
26.69640831563004,1012.320826932458,59.25324394375816,0,1000,0
25.553518064851268,1007.5024184886398,55.78190480865386,0,1000,0
26.386556930157308,1010.1397962673732,63.94681019039184,0,1000,0
